City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Paita,PE,2020-02-22 17:26:44,-5.09,-81.11,62.6,100,40,10.29
98,Geraldton,AU,2020-02-22 17:26:44,-28.77,114.6,71.6,88,40,5.82
99,Vieques,PR,2020-02-22 17:26:44,18.43,-65.83,87.01,58,40,11.41
100,Mahebourg,MU,2020-02-22 17:26:45,-20.41,57.7,78.8,83,40,3.36
101,Dubbo,AU,2020-02-22 17:26:01,-32.25,148.62,68.0,77,75,12.75
102,Fredericksburg,US,2020-02-22 17:26:45,38.3,-77.46,52.0,23,1,10.29
103,Namibe,AO,2020-02-22 17:26:45,-15.2,12.15,74.52,85,90,16.71
104,Naze,JP,2020-02-22 17:25:33,28.37,129.48,60.8,63,75,14.99
105,Kalininsk,RU,2020-02-22 17:26:46,51.5,44.48,24.35,95,100,7.63
106,Nanortalik,GL,2020-02-22 17:26:46,60.14,-45.24,23.45,77,73,5.93
107,Lentekhi,GE,2020-02-22 17:26:46,42.79,42.73,23.38,93,88,3.02
108,Saldanha,ZA,2020-02-22 17:25:37,-33.01,17.94,71.6,68,44,13.87
109,Kamaishi,JP,2020-02-22 17:26:46,39.27,141.88,37.58,76,29,12.1
110,Labuhan,ID,2020-02-22 17:26:47,-6.88,112.21,75.31,92,78,2.26
111,Port Elizabeth,ZA,2020-02-22 17:26:47,-33.92,25.57,68.0,88,75,28.86
112,Arraial Do Cabo,BR,2020-02-22 17:25:56,-22.97,-42.03,78.8,69,75,11.41
113,Bilibino,RU,2020-02-22 17:26:47,68.05,166.44,-21.21,98,100,2.77
114,Chuy,UY,2020-02-22 17:25:49,-33.7,-53.46,69.78,54,85,10.07
115,San Andres,CO,2020-02-22 17:26:48,12.58,-81.7,86.0,62,20,11.41
116,Cherskiy,RU,2020-02-22 17:26:48,68.75,161.3,-19.89,98,99,4.72
117,Humberto De Campos,BR,2020-02-22 17:26:48,-2.6,-43.46,81.19,86,92,3.53
118,Tuktoyaktuk,CA,2020-02-22 17:25:11,69.45,-133.04,6.8,84,90,5.82
119,Bredasdorp,ZA,2020-02-22 17:26:49,-34.53,20.04,66.2,82,100,8.05
120,Qaanaaq,GL,2020-02-22 17:26:49,77.48,-69.36,-14.96,64,100,4.36
121,Hualmay,PE,2020-02-22 17:26:49,-11.1,-77.61,82.35,50,94,9.78
122,Parchim,DE,2020-02-22 17:26:50,53.43,11.85,46.99,75,75,20.8
123,Alofi,NU,2020-02-22 17:26:50,-19.06,-169.92,80.02,89,100,11.12
124,South Lyon,US,2020-02-22 17:26:50,42.46,-83.65,43.0,47,1,10.29
125,Nikolskoye,RU,2020-02-22 17:26:50,59.7,30.79,37.4,86,90,13.42
126,Mar Del Plata,AR,2020-02-22 17:26:51,-38.0,-57.56,66.99,55,20,9.17
127,Port-Gentil,GA,2020-02-22 17:26:51,-0.72,8.78,84.2,83,20,6.93
128,Katsuura,JP,2020-02-22 17:26:51,35.13,140.3,52.0,50,75,16.11
129,Snezhnogorsk,RU,2020-02-22 17:26:51,69.19,33.25,37.4,74,75,11.18
130,Fare,PF,2020-02-22 17:23:04,-16.7,-151.02,81.86,76,3,11.3
131,Didsbury,GB,2020-02-22 17:26:52,53.42,-2.23,48.0,70,100,16.11
132,Villarrobledo,ES,2020-02-22 17:26:52,39.27,-2.6,64.99,33,30,3.0
133,Cidreira,BR,2020-02-22 17:26:52,-30.18,-50.21,68.95,72,19,19.46
134,Shatsk,RU,2020-02-22 17:26:52,54.03,41.71,25.02,97,15,9.22
135,Maltahohe,NA,2020-02-22 17:26:52,-24.83,16.98,76.05,54,62,12.03
136,Haputale,LK,2020-02-22 17:26:52,6.77,80.96,77.0,100,20,10.29
137,Petropavlovsk-Kamchatskiy,RU,2020-02-22 17:23:59,53.05,158.65,-0.4,70,0,11.18
138,Nautla,MX,2020-02-22 17:26:53,20.22,-96.78,64.6,73,89,3.94
139,Port Moresby,PG,2020-02-22 17:26:53,-9.44,147.18,83.37,74,98,5.06
140,Glencoe,ZA,2020-02-22 17:26:53,-28.18,30.15,63.93,95,65,4.88
141,Zyryanka,RU,2020-02-22 17:26:53,65.75,150.85,-15.57,88,80,4.29
142,Broken Hill,AU,2020-02-22 17:26:54,-31.95,141.43,69.8,29,0,10.29
143,Horsham,GB,2020-02-22 17:26:54,51.06,-0.33,53.6,62,75,23.04
144,Ilulissat,GL,2020-02-22 17:26:54,69.22,-51.1,-0.4,54,75,11.41
145,New Norfolk,AU,2020-02-22 17:24:50,-42.78,147.06,55.4,76,90,6.93
146,Novyy Buh,UA,2020-02-22 17:26:54,47.69,32.52,37.4,69,75,3.78
147,Colac,AU,2020-02-22 17:26:55,-38.33,143.58,55.0,98,0,1.97
148,Kolondieba,ML,2020-02-22 17:26:55,11.09,-6.89,97.18,10,10,2.53
149,Livingston,GB,2020-02-22 17:26:55,55.9,-3.52,39.99,80,75,18.34
150,Zalantun,CN,2020-02-22 17:26:55,48.0,122.72,3.11,85,1,3.83
151,Broome,US,2020-02-22 17:26:55,42.25,-75.83,39.0,46,1,12.75
152,Norman Wells,CA,2020-02-22 17:26:56,65.28,-126.83,5.0,84,75,4.7
153,San Patricio,MX,2020-02-22 17:26:56,19.22,-104.7,82.4,78,20,7.52
154,Kaitangata,NZ,2020-02-22 17:26:56,-46.28,169.85,51.01,72,59,1.99
155,Morondava,MG,2020-02-22 17:26:56,-20.28,44.28,75.18,95,90,4.61
156,Severo-Yeniseyskiy,RU,2020-02-22 17:26:57,60.37,93.04,12.2,96,96,3.62
157,Pleasanton,US,2020-02-22 17:24:51,37.66,-121.87,62.6,48,1,4.7
158,Belmonte,BR,2020-02-22 17:25:53,-15.86,-38.88,89.6,75,20,11.41
159,Ucluelet,CA,2020-02-22 17:26:54,48.93,-125.55,39.99,100,20,3.15
160,Yertsevo,RU,2020-02-22 17:26:58,60.8,40.09,33.1,81,100,17.4
161,Syumsi,RU,2020-02-22 17:26:58,57.11,51.61,30.76,91,100,7.78
162,Albanel,CA,2020-02-22 17:26:58,48.88,-72.45,36.0,55,75,20.8
163,Itarema,BR,2020-02-22 17:26:58,-2.92,-39.92,74.8,97,100,5.77
164,Arica,CL,2020-02-22 17:23:35,-18.48,-70.3,80.6,65,20,8.05
165,Wasilla,US,2020-02-22 17:24:21,61.58,-149.44,19.4,92,90,1.21
166,Chimbarongo,CL,2020-02-22 17:26:59,-34.7,-71.05,82.0,56,0,5.82
167,Vila,PT,2020-02-22 17:26:59,42.03,-8.16,66.99,59,0,3.36
168,Torbay,CA,2020-02-22 17:27:00,47.67,-52.73,27.0,62,40,23.04
169,Almaty,KZ,2020-02-22 17:25:52,43.25,76.95,41.0,80,90,2.24
170,Westport,US,2020-02-22 17:24:00,41.14,-73.36,46.0,27,1,6.93
171,Sterling,US,2020-02-22 17:27:00,39.01,-77.43,51.01,23,1,8.05
172,North Bend,US,2020-02-22 17:27:00,43.41,-124.22,46.0,87,1,2.82
173,Ancud,CL,2020-02-22 17:25:35,-41.87,-73.82,82.4,21,0,5.82
174,Ayorou,NE,2020-02-22 17:27:01,14.73,0.92,88.34,9,74,9.51
175,Jacmel,HT,2020-02-22 17:27:01,18.23,-72.53,84.2,66,20,12.75
176,Cookeville,US,2020-02-22 17:26:45,36.16,-85.5,48.0,35,1,5.37
177,Karpathos,GR,2020-02-22 17:27:01,35.51,27.21,53.6,62,40,17.22
178,Asyut,EG,2020-02-22 17:27:01,27.18,31.18,60.8,55,0,11.41
179,Lebu,CL,2020-02-22 17:24:50,-37.62,-73.65,69.22,57,3,6.13
180,Port Augusta,AU,2020-02-22 17:27:02,-32.5,137.77,68.0,77,0,5.82
181,Meulaboh,ID,2020-02-22 17:26:04,4.14,96.13,83.05,72,62,7.4
182,Dongsheng,CN,2020-02-22 17:27:02,39.82,109.98,28.76,43,5,22.17
183,Sur,OM,2020-02-22 17:27:03,22.57,59.53,70.09,77,8,2.89
184,Santa Maria,BR,2020-02-22 17:26:35,-29.68,-53.81,68.0,49,20,8.05
185,Raudeberg,NO,2020-02-22 17:25:46,61.99,5.14,41.0,70,40,25.28
186,Borogontsy,RU,2020-02-22 17:27:03,62.67,131.17,-5.31,98,96,3.47
187,Goderich,CA,2020-02-22 17:25:55,43.75,-81.72,39.99,74,27,15.01
188,Alamos,MX,2020-02-22 17:27:04,27.02,-108.93,75.0,70,79,3.0
189,Avera,US,2020-02-22 17:27:04,33.19,-82.53,48.99,39,1,3.36
190,Aksha,RU,2020-02-22 17:27:04,50.28,113.29,11.68,80,100,3.31
191,East London,ZA,2020-02-22 17:27:04,-33.02,27.91,71.6,73,20,21.92
192,Ojuelos De Jalisco,MX,2020-02-22 17:27:04,21.87,-101.58,68.29,34,3,6.42
193,Sire,NG,2020-02-22 17:27:05,12.93,5.2,88.3,12,3,11.3
194,Hailey,US,2020-02-22 17:27:05,43.52,-114.32,28.4,50,5,6.93
195,Kruisfontein,ZA,2020-02-22 17:26:05,-34.0,24.73,65.61,91,44,16.62
196,Havelock,US,2020-02-22 17:27:05,34.88,-76.9,48.99,36,1,6.93
197,Kununurra,AU,2020-02-22 17:27:05,-15.77,128.73,77.0,78,75,3.36
198,West Wendover,US,2020-02-22 17:27:06,40.74,-114.07,32.0,41,20,5.82
199,Kutum,SD,2020-02-22 17:25:04,14.2,24.67,66.29,12,5,6.73
200,Lavrentiya,RU,2020-02-22 17:25:01,65.58,-171.0,-16.87,99,87,4.41
201,Donskoye,RU,2020-02-22 17:27:06,45.46,41.97,33.8,77,90,11.18
202,Mezen,RU,2020-02-22 17:27:06,65.85,44.24,33.64,85,100,21.59
203,Ugoofaaru,MV,2020-02-22 17:27:07,5.67,73.0,83.39,78,100,17.81
204,Leh,IN,2020-02-22 17:27:07,34.17,77.58,-3.21,56,0,2.98
205,Tavricheskoye,RU,2020-02-22 17:27:07,54.59,73.64,30.2,80,75,8.95
206,Coquimbo,CL,2020-02-22 17:26:02,-29.95,-71.34,68.0,68,20,10.29
207,Yinchuan,CN,2020-02-22 17:27:07,38.47,106.27,32.0,35,0,2.37
208,Taltal,CL,2020-02-22 17:27:08,-25.4,-70.48,70.47,62,0,10.22
209,Chernyshevskiy,RU,2020-02-22 17:27:08,63.01,112.47,1.72,97,100,1.14
210,Nhulunbuy,AU,2020-02-22 17:27:08,-12.23,136.77,80.6,88,90,8.05
211,Quatre Cocos,MU,2020-02-22 17:27:08,-20.21,57.76,78.8,83,40,3.36
212,Narsaq,GL,2020-02-22 17:27:08,60.92,-46.05,19.4,34,75,10.29
213,Mantua,IT,2020-02-22 17:27:09,45.17,10.78,57.2,62,0,2.24
214,Camargo,MX,2020-02-22 17:27:09,27.67,-105.17,66.07,39,100,14.25
215,Faanui,PF,2020-02-22 17:27:09,-16.48,-151.75,81.46,77,3,10.83
216,Srednekolymsk,RU,2020-02-22 17:25:20,67.45,153.68,-26.25,100,97,1.97
217,Phan Thiet,VN,2020-02-22 17:27:09,10.93,108.1,66.13,79,0,5.44
218,Urucara,BR,2020-02-22 17:27:10,-2.54,-57.76,83.59,85,98,2.55
219,Yeppoon,AU,2020-02-22 17:27:10,-23.13,150.73,78.8,65,40,11.41
220,Mount Isa,AU,2020-02-22 17:25:06,-20.73,139.5,84.2,54,90,6.93
221,Tocopilla,CL,2020-02-22 17:27:10,-22.09,-70.2,75.49,45,89,13.53
222,Beloha,MG,2020-02-22 17:25:19,-25.17,45.05,76.82,84,40,2.3
223,Cedral,MX,2020-02-22 17:25:45,23.8,-100.73,60.01,43,51,6.31
224,Hambantota,LK,2020-02-22 17:25:40,6.12,81.12,77.0,100,20,10.29
225,Tezpur,IN,2020-02-22 17:27:11,26.63,92.8,68.36,69,85,0.29
226,Ketchikan,US,2020-02-22 17:27:11,55.34,-131.65,35.6,100,75,11.41
227,Bandipur,NP,2020-02-22 17:27:12,27.93,84.42,56.5,63,58,2.62
228,Umm Lajj,SA,2020-02-22 17:27:12,25.02,37.27,63.9,55,0,9.19
229,Dawson Creek,CA,2020-02-22 17:27:12,55.77,-120.24,32.0,72,1,21.92
230,Amga,RU,2020-02-22 17:27:12,60.9,131.96,-1.71,97,99,1.77
231,Kodiak,US,2020-02-22 17:27:12,57.79,-152.41,15.8,52,40,22.01
232,Yerbogachen,RU,2020-02-22 17:27:13,61.28,108.01,14.32,96,100,4.79
233,Sisimiut,GL,2020-02-22 17:27:13,66.94,-53.67,-4.38,85,71,3.49
234,Sao Gabriel Da Cachoeira,BR,2020-02-22 17:27:13,-0.13,-67.09,85.71,77,99,4.88
235,Saint George,US,2020-02-22 17:27:13,37.1,-113.58,57.0,39,20,4.7
236,Gainesville,US,2020-02-22 17:24:02,29.65,-82.32,61.0,54,1,12.75
237,Saint-Philippe,RE,2020-02-22 17:24:57,-21.36,55.77,78.8,73,65,2.24
238,Ampanihy,MG,2020-02-22 17:27:14,-24.7,44.75,78.21,81,79,3.4
239,Tasiilaq,GL,2020-02-22 17:24:49,65.61,-37.64,17.6,61,75,3.36
240,Vestmannaeyjar,IS,2020-02-22 17:27:14,63.44,-20.27,35.6,59,40,9.17
241,Puerto Ayora,EC,2020-02-22 17:27:15,-0.74,-90.35,82.4,78,75,8.05
242,Samarai,PG,2020-02-22 17:27:15,-10.62,150.67,77.65,89,91,3.6
243,Sao Filipe,CV,2020-02-22 17:27:15,14.9,-24.5,69.55,76,61,22.26
244,Belaya Gora,RU,2020-02-22 17:27:16,68.53,146.42,-14.64,98,94,1.28
245,San Cristobal,VE,2020-02-22 17:27:16,7.77,-72.22,78.8,74,40,4.7
246,Nayudupeta,IN,2020-02-22 17:27:16,13.9,79.9,73.62,89,2,5.84
247,Kitakata,JP,2020-02-22 17:27:16,37.65,139.87,43.0,66,93,18.28
248,Shaoyang,CN,2020-02-22 17:27:17,27.23,111.45,53.26,88,86,2.17
249,Estevan,CA,2020-02-22 17:27:17,49.13,-102.98,30.2,63,1,10.29
250,Casambalangan,PH,2020-02-22 17:27:17,18.38,122.13,74.52,78,11,17.67
251,Victoria Point,AU,2020-02-22 17:27:18,-27.58,153.3,73.0,83,75,6.93
252,Hargeysa,SO,2020-02-22 17:27:18,9.56,44.06,65.89,83,6,13.29
253,Fos-Sur-Mer,FR,2020-02-22 17:27:18,43.44,4.94,59.0,67,0,5.82
254,Knyaze-Volkonskoye,RU,2020-02-22 17:27:18,48.46,135.46,14.0,47,100,4.47
255,Premia De Mar,ES,2020-02-22 17:27:18,41.49,2.37,61.0,72,54,5.82
256,Lingyuan,CN,2020-02-22 17:27:19,41.24,119.4,23.18,45,0,6.33
257,Mata,PT,2020-02-22 17:27:19,40.68,-7.46,66.99,45,9,1.99
258,Vostok,RU,2020-02-22 17:27:19,46.49,135.88,9.01,96,100,6.08
259,Acaponeta,MX,2020-02-22 17:27:19,22.5,-105.36,91.27,37,88,3.09
260,Inta,RU,2020-02-22 17:27:20,66.03,60.17,29.59,90,86,21.34
261,Zaysan,KZ,2020-02-22 17:27:20,47.47,84.87,29.93,84,100,4.05
262,Longyearbyen,SJ,2020-02-22 17:27:20,78.22,15.64,1.4,64,20,13.87
263,Hakodate,JP,2020-02-22 17:27:20,41.78,140.74,30.97,64,73,24.63
264,Cap Malheureux,MU,2020-02-22 17:27:21,-19.98,57.61,78.8,83,40,3.36
265,Virtsu,EE,2020-02-22 17:27:21,58.57,23.51,42.8,87,75,21.92
266,Berlevag,NO,2020-02-22 17:27:21,70.86,29.09,36.61,77,55,35.3
267,Tuatapere,NZ,2020-02-22 17:27:21,-46.13,167.68,51.01,77,81,4.0
268,Lekoni,GA,2020-02-22 17:27:21,-1.58,14.26,83.75,57,72,2.73
269,Xam Nua,LA,2020-02-22 17:27:22,20.42,104.04,51.57,99,10,2.39
270,Middle Island,US,2020-02-22 17:27:22,40.88,-72.94,46.0,22,1,10.29
271,Orocue,CO,2020-02-22 17:27:22,4.79,-71.34,101.01,27,67,10.67
272,Yumen,CN,2020-02-22 17:27:22,40.28,97.2,27.61,42,0,3.62
273,General Pico,AR,2020-02-22 17:25:47,-35.66,-63.76,81.99,14,0,9.31
